日志记录中: ./logs/train_log_20250516-093202.txt
Epoch 460: Loss=0.1534, Test Accuracy=70.01%
Epoch 461: Loss=0.1650, Test Accuracy=71.62%
Epoch 462: Loss=0.1557, Test Accuracy=71.93%
Epoch 463: Loss=0.1523, Test Accuracy=72.49%
Epoch 464: Loss=0.1488, Test Accuracy=72.63%
Epoch 465: Loss=0.1549, Test Accuracy=72.16%
Epoch 466: Loss=0.1478, Test Accuracy=72.50%
Epoch 467: Loss=0.1537, Test Accuracy=72.02%
Epoch 468: Loss=0.1584, Test Accuracy=72.66%
Epoch 469: Loss=0.1500, Test Accuracy=72.55%
Epoch 470: Loss=0.1496, Test Accuracy=72.59%
Epoch 471: Loss=0.1483, Test Accuracy=69.79%
Epoch 472: Loss=0.1606, Test Accuracy=71.45%
Epoch 473: Loss=0.1526, Test Accuracy=71.72%
Epoch 474: Loss=0.1508, Test Accuracy=71.57%
Epoch 475: Loss=0.1577, Test Accuracy=72.12%
Epoch 476: Loss=0.1549, Test Accuracy=72.31%
Epoch 477: Loss=0.1531, Test Accuracy=72.77%
Epoch 478: Loss=0.1511, Test Accuracy=72.30%
